year,title,winner,gross_us,gross_int,gross,mc_critics,mc_users,url_wiki,url_imdb,url_metacritic
2013,The Wolf of Wall Street,no,116900694,289977539,406878233,75,6.5,/wiki/The_Wolf_of_Wall_Street_(2013_film),tt0993846,https://www.metacritic.com/movie/the-wolf-of-wall-street
2014,Birdman or (The Unexpected Virtue of Ignorance),yes,42340598,60874496,103215094,87,8.2,/wiki/Birdman_(film),tt2562232,https://metacritic.com/movie/birdman-or-the-unexpected-virtue-of-ignorance
2014,American Sniper,no,350159020,197300000,547459020,72,6.5,/wiki/American_Sniper,tt2179136,https://www.metacritic.com/movie/american-sniper
2014,Boyhood,no,25352281,22785385,48137666,100,7.4,/wiki/Boyhood_(2014_film),tt1065073,https://www.metacritic.com/movie/boyhood
2014,The Grand Budapest Hotel,no,59301324,113780865,173082189,88,8.4,/wiki/The_Grand_Budapest_Hotel,tt2278388,https://www.metacritic.com/movie/the-grand-budapest-hotel
2014,The Imitation Game,no,91125683,142430025,233555708,71,8.1,/wiki/The_Imitation_Game,tt2084970,https://www.metacritic.com/movie/the-imitation-game
2014,Selma,no,52076908,14711000,66787908,79,7.2,/wiki/Selma_(film),tt1020072,https://www.metacritic.com/movie/selma
2014,The Theory of Everything,no,35893537,87833151,123726688,71,7.8,/wiki/The_Theory_of_Everything_(2014_film),tt2980516,http://www.Metacritic.com/movie/the-theory-of-everything
2014,Whiplash,no,13092000,36304747,49396747,89,8.8,/wiki/Whiplash_(2014_film),tt2582802,https://www.metacritic.com/movie/whiplash
2015,Spotlight,yes,45055776,53634478,98690254,93,8.2,/wiki/Spotlight_(film),tt1895587,https://www.metacritic.com/movie/spotlight
2015,The Big Short,no,70259870,63181000,133440870,81,8.1,/wiki/The_Big_Short_(film),tt1596363,https://www.metacritic.com/movie/the-big-short
2015,Bridge of Spies,no,72313754,93164594,165478348,81,7.6,/wiki/Bridge_of_Spies_(film),tt3682448,https://www.metacritic.com/movie/bridge-of-spies
2015,Brooklyn,no,38322743,24079412,62402155,88,7.9,/wiki/Brooklyn_(film),tt2381111,https://www.metacritic.com/movie/brooklyn
2015,Mad Max: Fury Road,no,154109060,261152322,415261382,90,8.5,/wiki/Mad_Max:_Fury_Road,tt1392190,https://www.metacritic.com/movie/mad-max-fury-road
2015,The Martian,no,228433663,402187155,630620818,80,8.1,/wiki/The_Martian_(film),tt3659388,https://www.metacritic.com/movie/the-martian
2015,The Revenant,no,183637894,349312609,532950503,76,8,/wiki/The_Revenant_(2015_film),tt1663202,https://www.metacritic.com/movie/the-revenant-2015
2015,Room,no,14677654,20724104,35401758,86,8.3,/wiki/Room_(2015_film),tt3170832,https://www.metacritic.com/movie/room-2015
2016,Moonlight,yes,27854932,37481671,65336603,99,7.1,/wiki/Moonlight_(2016_film),tt4975722,https://www.metacritic.com/movie/moonlight-2016
2016,Arrival,no,100546139,102842047,203388186,81,8.2,/wiki/Arrival_(film),tt2543164,https://www.metacritic.com/movie/arrival
2016,Fences,no,57682904,6731857,64414761,79,7.3,/wiki/Fences_(film),tt2671706,https://www.metacritic.com/movie/fences
2016,Hacksaw Ridge,no,67209615,113354021,180563636,71,8.2,/wiki/Hacksaw_Ridge,tt2119532,https://www.metacritic.com/movie/hacksaw-ridge
